time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-12-08T00:25:40.370Z,36.9428333,-97.8063333,6.34,2.99,ml,19,124,0.1007,0.04,ismpkansas,ismpkansas70160358,2015-12-27T21:25:42.840Z,"16km NNW of Medford, Oklahoma",earthquake
2015-12-07T14:35:25.860Z,36.9986667,-97.6128333,5.67,2.67,ml,21,86,0.109,0.04,ismpkansas,ismpkansas70160288,2015-12-08T17:27:08.230Z,"7km S of Caldwell, Kansas",earthquake
2015-12-07T00:51:44.740Z,37.1243333,-97.6145,4.52,2.71,ml,21,78,0.01216,0.03,ismpkansas,ismpkansas70160173,2015-12-14T00:56:09.127Z,"10km N of Caldwell, Kansas",earthquake
2015-12-07T00:43:39.310Z,37.1278333,-97.6186667,4.33,2.46,ml,21,77,0.008286,0.03,ismpkansas,ismpkansas70160168,2015-12-15T02:23:36.274Z,"10km N of Caldwell, Kansas",earthquake
2015-12-06T22:24:32.480Z,37.229,-97.7866667,2.18,1.86,ml,19,126,0.06046,0.03,ismpkansas,ismpkansas70160143,2015-12-08T17:08:29.120Z,"22km ESE of Harper, Kansas",earthquake
2015-12-05T21:07:01.270Z,37.0121667,-97.8855,1.53,2.32,ml,20,72,0.0831,0.03,ismpkansas,ismpkansas70159953,2015-12-06T15:01:54.997Z,"20km SE of Anthony, Kansas",earthquake
2015-12-05T18:55:09.420Z,37.0121667,-97.8845,5.18,1.9,ml,18,72,0.0837,0.03,ismpkansas,ismpkansas70159923,2015-12-06T14:41:21.160Z,"20km SE of Anthony, Kansas",earthquake
2015-12-02T20:05:56.320Z,37.2031667,-97.9736667,7.83,1.92,ml,20,61,0.02361,0.03,ismpkansas,ismpkansas70159188,2015-12-02T21:38:34.920Z,"7km NE of Anthony, Kansas",earthquake
2015-12-01T14:35:25.240Z,37.2236667,-97.8736667,4.12,2.63,ml,21,79,0.026,0.04,ismpkansas,ismpkansas70158798,2016-01-03T20:02:20.040Z,"15km ESE of Harper, Kansas",earthquake
2015-12-01T14:32:25.570Z,37.224,-97.8736667,3.94,2.1,ml,20,79,0.02632,0.04,ismpkansas,ismpkansas70158793,2015-12-01T22:35:00.304Z,"15km ESE of Harper, Kansas",earthquake
2015-12-01T14:29:26.290Z,37.224,-97.872,4.14,2.73,ml,21,77,0.02624,0.04,ismpkansas,ismpkansas70158788,2016-01-03T19:59:45.040Z,"15km ESE of Harper, Kansas",earthquake
2015-12-01T07:23:57.990Z,37.048,-97.7448333,3.83,1.94,ml,19,77,0.01641,0.04,ismpkansas,ismpkansas70158668,2015-12-01T19:18:57.170Z,"12km W of Caldwell, Kansas",earthquake
2015-12-01T05:18:31.690Z,37.2235,-97.873,3.84,2.14,ml,19,78,0.02592,0.02,ismpkansas,ismpkansas70158648,2015-12-01T18:55:27.207Z,"15km ESE of Harper, Kansas",earthquake
2015-11-30T11:10:36.150Z,37.2028333,-97.9721667,7.84,1.83,ml,19,61,0.02386,0.03,ismpkansas,ismpkansas70158358,2015-12-01T18:43:00.800Z,"7km NE of Anthony, Kansas",earthquake
2015-11-30T06:48:53.770Z,37.0858333,-98.0333333,7.35,1.94,ml,18,152,0.06209,0.03,ismpkansas,ismpkansas70158273,2015-11-30T23:21:29.170Z,"7km S of Anthony, Kansas",earthquake
2015-11-29T15:08:47.320Z,37.0068333,-97.5911667,5.89,2.31,ml,20,84,0.09094,0.04,ismpkansas,ismpkansas70158153,2015-11-30T23:14:16.744Z,"3km SSE of Caldwell, Kansas",earthquake
2015-11-29T12:39:25.660Z,37.2026667,-97.9731667,7.98,2.8,ml,19,61,0.02407,0.03,ismpkansas,ismpkansas70158133,2015-12-13T07:55:37.808Z,"7km NE of Anthony, Kansas",earthquake
2015-11-28T21:55:34.740Z,37.007,-97.5873333,6.02,1.8,ml,20,84,0.08787,0.04,ismpkansas,ismpkansas70157978,2015-11-30T22:58:32.900Z,"3km SSE of Caldwell, Kansas",earthquake
2015-11-28T18:05:58.970Z,37.2028333,-97.9736667,7.96,2.64,ml,19,61,0.02394,0.03,ismpkansas,ismpkansas70157923,2015-12-03T00:19:13.930Z,"7km NE of Anthony, Kansas",earthquake
2015-11-28T14:20:04.250Z,37.0066667,-97.59,5.58,2.13,ml,20,84,0.09002,0.04,ismpkansas,ismpkansas70157868,2015-11-30T18:32:29.241Z,"3km SSE of Caldwell, Kansas",earthquake
2015-11-28T14:12:06.500Z,37.0615,-97.5228333,6.28,1.81,ml,20,107,0.06044,0.04,ismpkansas,ismpkansas70157858,2015-11-30T18:21:34.750Z,"8km ENE of Caldwell, Kansas",earthquake
2015-11-26T22:55:45.970Z,37.0243333,-97.606,5.52,1.91,ml,17,85,0.1032,0.04,ismpkansas,ismpkansas70157623,2015-11-27T17:43:12.380Z,"0km S of Caldwell, Kansas",earthquake
2015-11-26T09:46:36.290Z,37.1685,-97.7983333,3.7,2.06,ml,21,73,0.03486,0.03,ismpkansas,ismpkansas70157508,2015-11-30T16:46:19.021Z,"20km E of Anthony, Kansas",earthquake
2015-11-25T20:21:52.220Z,37.176,-97.8328333,1.83,1.76,ml,18,66,0.04285,0.04,ismpkansas,ismpkansas70157358,2015-12-21T23:35:10.780Z,"17km E of Anthony, Kansas",earthquake
